,track_id,race_date,race_number,program_number,weight_carried,jockey,odds,position_at_finish
0,AQU,2019-01-01,1,1  ,123,Dylan Davis,130,2
1,AQU,2019-01-01,1,2  ,120,Junior Alvarado,295,3
2,AQU,2019-01-01,1,3  ,118,Jose Lezcano,180,4
3,AQU,2019-01-01,1,4  ,123,Jomar Garcia,1280,5
4,AQU,2019-01-01,1,5  ,118,Manuel Franco,1150,1
5,AQU,2019-01-01,2,1  ,121,Jose Lezcano,220,2
6,AQU,2019-01-01,2,2  ,114,Benjamin Hernandez,940,7
7,AQU,2019-01-01,2,3  ,121,Dylan Davis,165,4
8,AQU,2019-01-01,2,4  ,123,Jomar Garcia,1760,5
9,AQU,2019-01-01,2,5  ,121,Andre Shivnarine Worrie,800,3
10,AQU,2019-01-01,2,6  ,116,Reylu Gutierrez,340,1
11,AQU,2019-01-01,2,7  ,121,Eric Cancel,3975,6
12,AQU,2019-01-01,3,1  ,120,Junior Alvarado,75,2
13,AQU,2019-01-01,3,2  ,120,Eric Cancel,5850,8
14,AQU,2019-01-01,3,3  ,113,Benjamin Hernandez,315,1
15,AQU,2019-01-01,3,4  ,120,Manuel Franco,980,3
16,AQU,2019-01-01,3,5  ,120,Jose Lezcano,1060,7
17,AQU,2019-01-01,3,6  ,115,Reylu Gutierrez,790,5
18,AQU,2019-01-01,3,7  ,120,Rajiv Maragh,2550,4
19,AQU,2019-01-01,3,8  ,120,Andre Shivnarine Worrie,2550,6
20,AQU,2019-01-01,4,1  ,118,Dylan Davis,200,1
21,AQU,2019-01-01,4,1A ,124,Luis R. Reyes,200,4
22,AQU,2019-01-01,4,3  ,122,Junior Alvarado,395,2
23,AQU,2019-01-01,4,4  ,122,Eric Cancel,500,5
24,AQU,2019-01-01,4,5  ,122,Manuel Franco,365,6
25,AQU,2019-01-01,4,6  ,124,John R. Velazquez,255,3
26,AQU,2019-01-01,5,1  ,118,Reylu Gutierrez,100,3
27,AQU,2019-01-01,5,2  ,121,Jose Lezcano,5800,6
28,AQU,2019-01-01,5,3  ,121,Dylan Davis,1080,7
29,AQU,2019-01-01,5,5  ,123,Andre Shivnarine Worrie,1010,4
30,AQU,2019-01-01,5,6  ,123,Rajiv Maragh,305,1
31,AQU,2019-01-01,5,7  ,123,Junior Alvarado,380,5
32,AQU,2019-01-01,5,8  ,121,Manuel Franco,1670,2
33,AQU,2019-01-01,6,10 ,120,Eric Cancel,780,4
34,AQU,2019-01-01,6,2  ,120,Junior Alvarado,640,3
35,AQU,2019-01-01,6,5  ,120,Jose Lezcano,560,7
